@relation preprocessamentoCK

@attribute CLASSE REAL 
@attribute CBO REAL 
@attribute DIT REAL 
@attribute LCOM REAL 
@attribute NOC REAL 
@attribute RFC REAL 
@attribute WMC REAL 
@attribute UOTESTED {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}
@data
1,16,3,2,0,12,7,2
1,6,3,1,0,4,1,2
1,13,1,1,0,43,38,2
1,64,1,1,0,54,29,2
1,5,1,1,0,15,4,2
1,7,1,1,0,29,11,2
1,31,1,1,0,30,16,2
1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,1
1,10,1,4,0,6,4,2
1,5,1,4,0,5,4,2
1,4,1,4,0,6,4,2
1,6,1,4,0,6,4,2
1,4,1,0,0,0,0,1
1,2,1,0,0,0,0,1
1,4,1,0,0,0,0,1
1,0,0,0,0,4,0,1
1,2,1,3,0,6,6,1
1,1,1,7,0,20,20,1
1,0,1,2,0,11,10,1
1,0,0,0,0,3,0,1
1,0,0,0,0,1,0,1
1,0,0,0,0,24,0,1
1,0,0,0,0,24,0,1
1,0,0,0,0,1,0,1
1,0,0,0,0,1,0,1
1,0,0,0,0,1,0,1
1,0,0,0,0,2,0,1
1,0,0,0,0,1,0,1
1,0,0,0,0,1,0,1
1,0,0,0,0,1,0,1
1,0,0,0,0,1,0,1
1,0,0,0,0,1,0,1
1,0,0,0,0,1,0,1
1,3,1,2,0,4,4,1
1,1,1,1,0,2,2,1
1,0,1,1,0,2,2,1
1,0,1,2,2,4,4,1
1,9,1,4,0,8,8,1
1,2,1,4,0,8,8,1
1,0,1,2,0,4,4,1
1,0,1,4,0,8,8,1
1,1,1,5,0,10,10,1
1,0,1,7,0,14,14,1
1,7,1,25,0,50,50,1
1,1,1,3,0,6,6,1
1,0,1,3,0,6,6,1
1,0,1,2,0,4,4,1
1,1,1,3,0,4,4,1
1,0,1,3,0,4,4,1
1,0,1,3,0,6,6,1
1,0,1,5,0,10,10,1
1,0,1,2,0,4,4,1
1,0,1,2,0,4,4,1
1,0,1,1,0,2,2,1
1,0,1,2,0,5,5,1
1,0,1,2,0,4,4,1
1,2,1,3,0,6,6,1
1,0,1,4,0,8,8,1
1,0,1,3,0,6,6,1
1,0,1,2,0,4,4,1
1,0,1,4,0,8,8,1
1,0,1,3,0,6,6,1
1,0,1,2,0,4,4,1
1,0,1,2,0,3,3,1
1,0,1,2,0,3,3,1
1,0,1,0,0,1,1,1
1,0,1,2,0,3,3,1
1,0,1,0,0,1,1,1
1,0,1,0,0,1,1,1
1,0,1,0,0,1,1,1
1,0,1,3,0,6,6,1
1,4,1,0,0,0,0,1
1,7,1,71,0,136,136,1
1,4,1,19,0,38,38,1
1,0,1,2,0,4,4,1
1,0,1,2,0,4,4,1
1,9,1,3,0,6,6,1
1,0,1,2,0,4,4,1
1,0,1,2,0,4,4,1
1,1,1,3,0,5,5,1
1,0,1,2,0,4,4,1
1,0,1,2,0,4,4,1
1,0,1,2,0,4,4,1
1,5,1,12,0,19,19,1
1,2,1,0,0,0,0,1
1,0,1,0,0,0,0,1
1,0,1,0,0,0,0,1
1,0,0,0,0,0,0,1
1,0,1,3,0,5,5,1
1,0,1,1,0,3,3,1
1,0,1,3,0,5,5,1
1,0,1,0,0,1,1,1
1,2,1,2,0,4,4,1
1,3,1,4,0,8,8,1
1,1,1,4,0,8,8,1
1,1,1,3,0,6,6,1
1,1,1,4,0,8,8,1
1,1,1,4,0,8,8,1
1,1,1,4,0,8,8,1
1,2,1,4,0,8,8,1
1,2,1,1,0,2,2,1
1,2,1,2,0,4,4,2
1,0,1,0,0,1,1,2
1,5,1,0,0,5,5,2
1,5,1,0,0,3,1,2
1,11,1,1,0,48,24,2
1,14,1,1,0,35,30,2
1,3,1,1,0,21,28,2
1,0,0,2,0,2,0,2
1,17,1,1,0,17,18,2
1,1,1,1,0,8,3,2
1,5,1,1,0,12,6,2
